Name,FPTS
Nikola Jokic,63.6
Luka Doncic,57.4
Anthony Davis,52.6
Shai Gilgeous-Alexander,51.7
LeBron James,50.0
Jayson Tatum,48.2
LaMelo Ball,45.5
Kyrie Irving,42.5
Donovan Mitchell,41.9
Jamal Murray,40.9
Jaylen Brown,38.7
Jalen Williams,38.5
Brandon Ingram,38.2
Jaren Jackson Jr.,37.3
Jarrett Allen,36.9
Lauri Markkanen,36.6
Evan Mobley,36.6
Derrick White,33.9
Austin Reaves,33.7
Michael Porter Jr.,33.1
John Collins,32.8
Desmond Bane,32.4
Darius Garland,32.3
Dennis Schroder,32.1
Miles Bridges,31.5
Brandon Boston Jr.,31.4
Zach Collins,31.1
Chris Paul,30.2
Collin Sexton,30.2
Cameron Johnson,30.1
Trey Murphy III,29.6
Brandon Miller,29.5
Jrue Holiday,28.1
Kyle Filipowski,28.0
Rui Hachimura,27.8
Jordan Clarkson,27.8
Christian Braun,27.7
Devin Vassell,27.5
D'Angelo Russell,27.2
Keyonte George,27.1
Payton Pritchard,26.3
Luguentz Dort,26.2
Caris LeVert,26.2
Klay Thompson,26.1
Ben Simmons,26.0
Scotty Pippen Jr.,25.9
Yves Missi,25.8
Russell Westbrook,25.3
Peyton Watson,25.2
Grant Williams,24.8
Al Horford,24.5
Stephon Castle,24.5
Aaron Wiggins,24.2
PJ Washington,24.2
Marcus Smart,23.5
Ziaire Williams,22.6
Javonte Green,21.9
Julian Champagnie,21.8
Brandon Clarke,21.8
Jaylen Nowell,21.7
Keldon Johnson,21.6
Harrison Barnes,21.5
Moussa Diabate,21.3
Cason Wallace,21.3
Dorian Finney-Smith,21.3
Jay Huff,21.2
Neemias Queta,20.5
Dalton Knecht,20.5
Vince Williams Jr.,20.5
Naji Marshall,19.9
Ty Jerome,19.8
Jeremiah Robinson-Earl,19.5
Cody Martin,19.5
Tre Mann,19.3
Santi Aldama,19.3
Charles Bassey,19.0
Daniel Gafford,18.3
Isaiah Collier,18.3
Alex Caruso,18.2
Josh Green,18.0
Ajay Mitchell,17.8
Jalen Wilson,17.1
Georges Niang,17.0
Julian Strawther,16.9
Sam Hauser,16.9
Kenrich Williams,16.9
Jaylen Wells,15.9
Jamal Cain,15.7
Isaac Okoro,15.6
Sam Merrill,15.6
Noah Clowney,15.6
Trendon Watford,15.2
Tre Jones,15.1
Drew Eubanks,14.7
Luke Kennard,13.4
Trey Jemison,12.9
Cam Reddish,12.8
Tidjane Salaun,11.2
Cody Williams,11.0
Jake LaRavia,10.8
Quentin Grimes,10.6
Dillon Jones,10.4
Christian Koloko,10.2
Dario Saric,10.0
Maxi Kleber,9.4
Keon Johnson,9.4
Ousmane Dieng,9.4
Sandro Mamukelashvili,9.2
Gabe Vincent,8.3
Malaki Branham,7.9
Luke Kornet,7.8
Vlatko Cancar,7.1
Seth Curry,4.5
Jaden Hardy,4.2
Max Christie,3.5
Johnny Juzang,3.4
Spencer Dinwiddie,3.3
Armel Traore,0.1
