Name,FPTS
Nikola Jokic CDEN  @  MEM GTDTue 8:00pm,63.6
Luka Doncic PGNO  @  DAL GTDTue 8:30pm,57.4
Anthony Davis CUTAH  @  LAL GTDTue 10:30pm,52.6
Shai Gilgeous-Alexander PGOKC  @  SATue 9:30pm,51.7
LeBron James SF/PFUTAH  @  LALTue 10:30pm,50
Jayson Tatum SF/PFCLE  @  BOSTue 7:00pm,48.2
LaMelo Ball PGCHA  @  BKNTue 7:30pm,45.5
Kyrie Irving PG/SGNO  @  DALTue 8:30pm,42.5
Donovan Mitchell PG/SGCLE  @  BOS OUTTue 7:00pm,41.9
Jamal Murray PG/SGDEN  @  MEMTue 8:00pm,40.9
Jaylen Brown SG/SFCLE  @  BOSTue 7:00pm,38.7
Jalen Williams COKC  @  SATue 9:30pm,38.5
Brandon Ingram SG/SFNO  @  DALTue 8:30pm,38.2
Jaren Jackson Jr. PFDEN  @  MEMTue 8:00pm,37.3
Jarrett Allen CCLE  @  BOSTue 7:00pm,36.9
Lauri Markkanen SF/PFUTAH  @  LALTue 10:30pm,36.6
Evan Mobley PF/CCLE  @  BOSTue 7:00pm,36.6
Derrick White PG/SGCLE  @  BOSTue 7:00pm,33.9
Austin Reaves PG/SGUTAH  @  LALTue 10:30pm,33.7
Michael Porter Jr. SF/PFDEN  @  MEMTue 8:00pm,33.1
John Collins PF/CUTAH  @  LALTue 10:30pm,32.8
Desmond Bane SG/SFDEN  @  MEMTue 8:00pm,32.4
Darius Garland PGCLE  @  BOSTue 7:00pm,32.3
Dennis Schroder PG/SGCHA  @  BKNTue 7:30pm,32.1
Miles Bridges PFCHA  @  BKNTue 7:30pm,31.5
Brandon Boston Jr. PG/SGNO  @  DALTue 8:30pm,31.4
Zach Collins COKC  @  SATue 9:30pm,31.1
Chris Paul PGOKC  @  SATue 9:30pm,30.2
Collin Sexton PG/SGUTAH  @  LALTue 10:30pm,30.2
Cameron Johnson SF/PFCHA  @  BKNTue 7:30pm,30.1
Trey Murphy III SF/PFNO  @  DAL GTDTue 8:30pm,29.6
Brandon Miller SG/SFCHA  @  BKNTue 7:30pm,29.5
Jrue Holiday PGCLE  @  BOS GTDTue 7:00pm,28.1
Kyle Filipowski PF/CUTAH  @  LALTue 10:30pm,28
Rui Hachimura SF/PFUTAH  @  LAL GTDTue 10:30pm,27.8
Jordan Clarkson SGUTAH  @  LALTue 10:30pm,27.8
Christian Braun SG/SFDEN  @  MEMTue 8:00pm,27.7
Devin Vassell SGOKC  @  SA GTDTue 9:30pm,27.5
D'Angelo Russell PGUTAH  @  LALTue 10:30pm,27.2
Keyonte George PGUTAH  @  LALTue 10:30pm,27.1
Payton Pritchard PG/SGCLE  @  BOS GTDTue 7:00pm,26.3
Luguentz Dort SG/SFOKC  @  SATue 9:30pm,26.2
Caris LeVert PG/SGCLE  @  BOS GTDTue 7:00pm,26.2
Klay Thompson SG/SFNO  @  DALTue 8:30pm,26.1
Ben Simmons CCHA  @  BKNTue 7:30pm,26
Scotty Pippen Jr. PGDEN  @  MEMTue 8:00pm,25.9
Yves Missi CNO  @  DALTue 8:30pm,25.8
Russell Westbrook PGDEN  @  MEMTue 8:00pm,25.3
